Data File Name,2100 expert_High Sensitivity DNA Assay_DE13804795_2019-10-10_19-27-39.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2019-10-10
Date Created,"Thursday, October 10, 2019 10:27:38 AM"
Date Last Modified,"Thursday, October 10, 2019 11:09:01 AM"
Version Created,B.02.09.SI725
Version Last Modified,B.02.09.SI725
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
76.3,-0.1054319
76.35,-0.397542
76.4,-0.6132013
76.45,-0.5986658
76.5,-0.5526066
76.55,-0.4307344
76.6,-0.3239411
76.65,-0.3846857
76.7,-0.4470464
76.75,-0.3664533
76.8,-0.2738493
76.85,-0.380243
76.9,-0.4371917
76.95,-0.3821743
77,-0.274787
77.05,-4.930278E-02
77.1,0.3648638
77.15,1.545758
77.2,4.011881
77.25,9.469229
77.3,20.15514
77.35,38.29053
77.4,64.43921
77.45,96.84852
77.5,132.5871
77.55,167.2689
77.6,195.8959
77.65,215.309
77.7,221.5409
77.75,214.945
77.8,198.3233
77.85,173.1849
77.9,142.0904
77.95,108.9419
78,78.58806
78.05,53.87086
78.1,36.12383
78.15,24.99224
78.2,17.88801
78.25,13.10973
78.3,9.958973
78.35,8.030498
78.4,6.691829
78.45,5.766554
78.5,5.295299
78.55,4.810041
78.6,4.155149
78.65,3.443856
78.7,2.959984
78.75,2.399115
78.8,2.132656
78.85,2.108552
78.9,2.021347
78.95,1.681212
79,1.122407
79.05,0.7592281
79.1,0.6524441
79.15,0.7333305
79.2,0.8044255
79.25,0.8051164
79.3,0.6540605
79.35,0.5130662
79.4,0.6310676
79.45,0.7161161
79.5,0.7199383
79.55,0.731671
79.6,0.687716
79.65,0.669174
79.7,0.4679161
79.75,0.3922867
79.8,0.2193427
79.85,0.2205313
79.9,0.2716712
79.95,0.3849916
80,0.4496184
80.05,0.1843031
80.1,0.2002055
80.15,8.059298E-02
80.2,0.1369857
80.25,0.2456871
80.3,0.3678738
80.35,0.276698
80.4,3.645271E-03
80.45,0.1096841
80.5,0.1511495
80.55,0.3243623
80.6,0.450307
80.65,0.3937326
80.7,0.2970774
80.75,8.413485E-02
80.8,0.1379582
80.85,3.258435E-02
80.9,-7.372848E-02
80.95,-2.153167E-02
81,3.602766E-02
81.05,0.1498018
81.1,6.464994E-02
81.15,0.1135217
81.2,-5.193219E-02
81.25,-0.1827189
81.3,-0.1898171
81.35,-0.1701953
81.4,-6.040446E-02
81.45,-7.449245E-02
81.5,6.540222E-02
81.55,-0.0695938
81.6,-0.2319167
81.65,-0.3225333
81.7,-0.3234401
81.75,-0.2300871
81.8,-0.1794201
81.85,-4.232988E-02
81.9,-0.2587952
81.95,-0.504837
82,-0.6544648
82.05,-0.5413654
82.1,-0.2969589
82.15,-0.1431699
82.2,-6.935114E-02
82.25,-0.2833012
82.3,-0.3385807
82.35,-0.2634138
82.4,-0.2142394
82.45,-0.1864734
82.5,-0.198422
82.55,-0.1319789
82.6,-0.193805
82.65,-0.353174
82.7,-0.3865328
82.75,0.1508342
82.8,1.638283
82.85,4.962549
82.9,12.08615
82.95,24.19143
83,42.18082
83.05,67.49751
83.1,98.89356
83.15,132.8234
83.2,166.7199
83.25,196.7386
83.3,219.1577
83.35,232.3436
83.4,235.8004
83.45,228.2526
83.5,209.9406
83.55,183.8639
83.6,153.158
83.65,121.6281
83.7,92.66582
83.75,69.13574
83.8,50.4127
83.85,36.93882
83.9,27.55163
83.95,20.90493
84,16.37868
84.05,13.48408
84.1,11.34509
84.15,9.727037
84.2,8.578485
84.25,7.574361
84.3,7.180566
84.35,6.85137
84.4,6.393649
84.45,6.011989
84.5,5.415606
84.55,4.634662
84.6,3.976185
84.65,3.637895
84.7,3.173856
84.75,2.818271
84.8,2.840414
84.85,2.684055
84.9,2.784662
84.95,2.671474
85,2.509802
85.05,2.15325
85.1,2.012534
85.15,2.055795
85.2,1.867513
85.25,1.590684
85.3,1.212895
85.35,1.119256
85.4,1.049652
85.45,1.167117
85.5,1.314005
85.55,1.260479
85.6,0.8571717
85.65,0.558457
85.7,0.4624414
85.75,0.47952
85.8,0.6006137
85.85,0.6941803
85.9,0.4464798
85.95,0.2320805
86,0.1491793
86.05,0.1244206
86.1,-2.120385E-02
86.15,-0.2330796
86.2,-0.3158321
86.25,-0.4188873
86.3,-0.4335086
86.35,-0.4259002
86.4,-0.3280666
86.45,-0.3210606
86.5,-0.2274829
86.55,-0.1079393
86.6,-0.1242696
86.65,-0.1266601
86.7,-0.1666023
86.75,-0.2058258
86.8,-0.2416144
86.85,-0.279406
86.9,-0.2323239
86.95,-0.2068202
87,-0.2858561
87.05,-0.4042402
87.1,-0.3848976
87.15,-0.4688005
87.2,-0.6663538
87.25,-0.596292
87.3,-0.5399681
87.35,-0.5328594
87.4,-0.6400051
87.45,-0.5973017
87.5,-0.3227499
87.55,0.5845682
87.6,2.490191
87.65,6.199058
87.7,12.683
87.75,23.48434
87.8,39.49537
87.85,61.32444
87.9,89.22552
87.95,122.3069
88,157.0332
88.05,189.5972
88.1,216.3953
88.15,235.5555
88.2,246.3385
88.25,248.7732
88.3,242.8749
88.35,226.076
88.4,202.451
88.45,174.3119
88.5,144.5378
88.55,115.7402
88.6,90.24817
88.65,68.44703
88.7,50.71593
88.75,37.93727
88.8,28.79058
88.85,22.27821
88.9,17.80652
88.95,14.07437
89,11.27425
89.05,9.206739
89.1,7.475537
89.15,6.321405
89.2,5.175617
89.25,4.296981
89.3,3.73594
89.35,3.478117
89.4,2.978169
89.45,2.433485
89.5,1.972031
89.55,1.461419
89.6,1.101923
89.65,0.6825208
89.7,0.5748572
89.75,0.5371916
89.8,0.5838986
89.85,0.6076047
89.9,0.675083
89.95,0.5064365
90,0.2948727
90.05,0.3279108
90.1,0.1378296
90.15,2.183237E-02
90.2,8.650506E-02
90.25,0.233902
90.3,0.2276956
90.35,0.1071418
90.4,0.1119
90.45,-7.954101E-02
90.5,2.412547E-02
90.55,0.3467982
90.6,1.026986
90.65,2.323885
90.7,5.417545
90.75,11.78172
90.8,21.24487
90.85,35.33118
90.9,54.59856
90.95,78.46325
91,107.8221
91.05,141.357
91.1,173.592
91.15,202.2463
91.2,226.1737
91.25,242.4047
91.3,248.9681
91.35,248.1283
91.4,237.7997
91.45,219.2793
91.5,196.6087
91.55,171.2718
91.6,144.3573
91.65,117.6267
91.7,93.46696
91.75,71.25283
91.8,53.31454
91.85,39.75351
91.9,30.4383
91.95,24.07098
92,19.69221
92.05,16.57147
92.1,13.94533
92.15,12.18688
92.2,10.47619
92.25,8.774103
92.3,7.183641
92.35,5.924147
92.4,5.062239
92.45,4.572718
92.5,4.315415
92.55,3.796554
92.6,3.298561
92.65,2.869166
92.7,2.619095
92.75,2.516137
92.8,2.448068
92.85,2.407375
92.9,2.097891
92.95,1.746449
93,1.542732
93.05,1.523183
93.1,1.466836
93.15,1.414128
93.2,1.455183
93.25,1.352791
93.3,1.163766
93.35,1.005037
93.4,0.8800451
